Rank,Date,Cash,Cash Interest,Margin Cost,Net Worth,% Return
42,5/10/2018,"$11,499.03","-","-","$11,499.03","14.99%"
42,5/9/2018,"$11,499.03","-","-","$11,499.03","14.99%"
40,5/8/2018,"$11,499.03","-","-","$11,499.03","14.99%"
40,5/7/2018,"$11,499.03","-","-","$11,499.03","14.99%"
37,5/4/2018,"$11,499.03","-","-","$11,499.03","14.99%"
36,5/3/2018,"$11,499.03","-","-","$11,499.03","14.99%"
35,5/2/2018,"$11,499.03","-","-","$11,499.03","14.99%"
35,5/1/2018,"$11,499.03","-","-","$11,499.03","14.99%"
35,4/30/2018,"$11,499.03","-","-","$11,499.03","14.99%"
36,4/27/2018,"$11,499.03","-","-","$11,499.03","14.99%"
35,4/26/2018,"$11,499.03","-","-","$11,499.03","14.99%"
35,4/25/2018,"$11,499.03","-","-","$11,499.03","14.99%"
36,4/24/2018,"$11,499.03","-","-","$11,499.03","14.99%"
38,4/23/2018,"$11,499.03","-","-","$11,499.03","14.99%"
39,4/20/2018,"$11,499.03","-","-","$11,499.03","14.99%"
42,4/19/2018,"$2,554.75","-","-","$11,556.39","15.56%"
44,4/18/2018,"$2,554.75","-","-","$11,592.01","15.92%"
42,4/17/2018,"$2,554.75","-","-","$11,536.66","15.37%"
42,4/16/2018,"$2,554.75","-","-","$11,335.67","13.36%"
50,4/13/2018,"$2,554.75","-","-","$11,042.52","10.43%"
51,4/12/2018,"$2,554.75","-","-","$11,027.81","10.28%"
50,4/11/2018,"$2,554.75","-","-","$10,943.10","9.43%"
49,4/10/2018,"$2,554.75","-","-","$11,010.40","10.10%"
44,4/9/2018,"$2,554.75","-","-","$10,898.16","8.98%"
46,4/6/2018,"$2,554.75","-","-","$10,726.88","7.27%"
52,4/5/2018,"$2,554.75","-","-","$10,858.46","8.58%"
56,4/4/2018,"$2,554.75","-","-","$10,680.76","6.81%"
48,4/3/2018,"$2,554.75","-","-","$10,641.45","6.41%"
46,4/2/2018,"$2,554.75","-","-","$10,572.63","5.73%"
55,3/29/2018,"$2,554.75","-","-","$10,709.53","7.10%"
48,3/28/2018,"$2,554.75","-","-","$10,682.48","6.82%"
47,3/27/2018,"$2,554.75","-","-","$10,823.92","8.24%"
60,3/26/2018,"$2,554.75","-","-","$10,868.47","8.68%"
48,3/23/2018,"$2,554.75","-","-","$10,748.36","7.48%"
53,3/22/2018,"$2,554.75","-","-","$10,891.09","8.91%"
61,3/21/2018,"$2,554.75","-","-","$10,996.49","9.96%"
60,3/20/2018,"$2,554.75","-","-","$11,068.43","10.68%"
53,3/19/2018,"$2,554.75","-","-","$11,100.16","11.00%"
56,3/16/2018,"$2,554.75","-","-","$11,229.48","12.29%"
57,3/15/2018,"$2,554.75","-","-","$11,242.67","12.43%"
50,3/14/2018,"$2,554.75","-","-","$11,392.02","13.92%"
53,3/13/2018,"$2,554.75","-","-","$11,370.41","13.70%"
57,3/12/2018,"$2,554.75","-","-","$11,407.92","14.08%"
58,3/9/2018,"$2,554.75","-","-","$11,397.74","13.98%"
56,3/8/2018,"$2,554.75","-","-","$11,305.00","13.05%"
53,3/7/2018,"$2,554.75","-","-","$11,283.48","12.83%"
54,3/6/2018,"$2,554.75","-","-","$11,280.76","12.81%"
49,3/5/2018,"$2,554.75","-","-","$11,316.67","13.17%"
47,3/2/2018,"$2,554.75","-","-","$11,204.76","12.05%"
45,3/1/2018,"$2,554.75","-","-","$11,171.81","11.72%"
44,2/28/2018,"$2,554.75","-","-","$11,369.18","13.69%"
52,2/27/2018,"$2,554.75","-","-","$11,357.37","13.57%"
59,2/26/2018,"$2,554.75","-","-","$11,338.07","13.38%"
49,2/23/2018,"$2,554.75","-","-","$11,240.45","12.40%"
45,2/22/2018,"$2,554.75","-","-","$11,208.12","12.08%"
45,2/21/2018,"$2,554.75","-","-","$11,237.38","12.37%"
44,2/20/2018,"$2,554.75","-","-","$11,303.54","13.04%"
43,2/16/2018,"$2,554.75","-","-","$11,355.28","13.55%"
48,2/15/2018,"$2,554.75","-","-","$11,295.27","12.95%"
47,2/14/2018,"$2,554.75","-","-","$11,113.16","11.13%"
37,2/13/2018,"$2,554.75","-","-","$11,081.86","10.82%"
35,2/12/2018,"$2,554.75","-","-","$11,069.07","10.69%"
34,2/9/2018,"$2,554.75","-","-","$10,909.94","9.10%"
35,2/8/2018,"$2,554.75","-","-","$10,745.61","7.46%"
46,2/7/2018,"$2,554.75","-","-","$10,955.19","9.55%"
47,2/6/2018,"$2,554.75","-","-","$10,984.25","9.84%"
35,2/5/2018,"$2,554.75","-","-","$10,959.19","9.59%"
46,2/2/2018,"$2,554.75","-","-","$11,188.65","11.89%"
55,2/1/2018,"$2,554.75","-","-","$11,320.62","13.21%"
58,1/31/2018,"$2,554.75","-","-","$11,359.17","13.59%"
60,1/30/2018,"$2,554.75","-","-","$11,270.97","12.71%"
62,1/29/2018,"$2,554.75","-","-","$11,336.54","13.37%"
61,1/26/2018,"$2,554.75","-","-","$11,398.93","13.99%"
55,1/25/2018,"$2,554.75","-","-","$11,426.94","14.27%"
60,1/24/2018,"$2,554.75","-","-","$11,340.04","13.40%"
59,1/23/2018,"$2,554.75","-","-","$11,353.78","13.54%"
49,1/22/2018,"$8,029.04","-","-","$11,546.51","15.47%"
42,1/19/2018,"$8,029.04","-","-","$11,649.76","16.50%"
34,1/18/2018,"$8,029.04","-","-","$11,723.52","17.24%"
14,1/17/2018,"$13,448.01","-","-","$13,756.75","37.57%"
22,1/16/2018,"$13,448.01","-","-","$12,635.12","26.35%"
122,1/12/2018,"$13,448.01","-","-","$10,090.16","0.90%"
18,1/11/2018,"$13,448.01","-","-","$12,948.44","29.48%"
109,1/10/2018,"$13,448.01","-","-","$10,231.84","2.32%"
142,1/9/2018,"$13,448.01","-","-","$7,954.17","-20.46%"
143,1/8/2018,"$13,448.01","-","-","$7,275.36","-27.25%"
144,1/5/2018,"$13,448.01","-","-","$5,945.86","-40.54%"
141,1/4/2018,"$13,448.01","-","-","$7,575.35","-24.25%"
142,1/3/2018,"$13,448.01","-","-","$6,953.79","-30.46%"
142,1/2/2018,"$13,448.01","-","-","$6,822.67","-31.77%"
